opcode,category,worst_mgas_s,mgas_s_besu,mgas_s_erigon,mgas_s_ethrex,mgas_s_geth,mgas_s_nethermind,mgas_s_reth,gas_params,below_anchor
BLAKE2F,Precompile,142.327,276.751,142.327,1188.502,729.237,618.130,301.727,PRECOMPILE_BLAKE2F_BASE;PRECOMPILE_BLAKE2F_PER_ROUND,False
LT,Comparison,147.081,147.081,1686.995,3822.071,832.705,2944.522,4760.765,OPCODE_LT,False
SAR,Bitwise,148.922,148.922,1356.910,1697.845,936.894,1015.639,1605.036,OPCODE_SAR,False
GT,Comparison,152.175,152.175,1632.861,3799.535,981.160,2968.820,4508.626,OPCODE_GT,False
IDENTITY,Precompile,164.834,377.929,164.834,2003.876,503.818,808.925,334.937,PRECOMPILE_IDENTITY_BASE;PRECOMPILE_IDENTITY_PER_WORD,False
POINT_EVALUATION,Precompile,188.590,190.900,251.282,183.924,196.721,188.590,201.657,PRECOMPILE_POINT_EVALUATION,False
SHA2-256,Precompile,203.826,494.511,203.826,2263.831,1238.798,655.694,447.889,PRECOMPILE_SHA256_BASE;PRECOMPILE_SHA256_PER_WORD,False
BLS12_G1ADD,BLS12-381,204.834,204.834,304.079,78.855,412.122,403.555,528.875,PRECOMPILE_BLS_G1ADD,False
SIGNEXTEND,Arithmetic,211.032,211.032,2115.364,1916.502,1143.218,2493.324,1719.574,OPCODE_SIGNEXTEND,False
BLS12_G2ADD,BLS12-381,248.049,248.049,404.427,104.559,460.772,383.155,567.069,PRECOMPILE_BLS_G2ADD,False
ECADD,Precompile,248.534,262.225,248.534,280.116,401.932,313.082,260.695,PRECOMPILE_ECADD,False
ORIGIN,Block/tx,249.265,418.221,249.265,2310.763,684.296,2029.998,3407.222,OPCODE_ORIGIN,False
BLS12_G1MSM,BLS12-381,250.908,386.489,279.518,292.442,260.297,278.055,250.908,,False
ECPAIRING,Precompile,262.628,728.001,633.809,449.450,658.106,262.628,464.324,PRECOMPILE_ECPAIRING_BASE;PRECOMPILE_ECPAIRING_PER_POINT,False
KECCAK256,Hashing,266.406,266.406,303.391,538.903,356.606,269.062,493.437,OPCODE_KECCAK256_BASE;OPCODE_KECCAK256_PER_WORD,False
BLS12_G2MSM,BLS12-381,267.095,611.426,300.808,283.604,267.095,272.104,268.532,,False
MULMOD,Arithmetic,296.185,296.185,481.092,511.987,448.569,332.384,645.150,OPCODE_MULMOD,False
JUMPDEST,Control flow,300.577,300.577,553.910,1612.150,545.659,1494.909,2562.799,OPCODE_JUMPDEST,False
SMOD,Arithmetic,308.760,308.760,454.956,602.953,478.036,499.631,629.504,OPCODE_SMOD,False
ECRECOVER,Precompile,314.620,356.688,324.127,417.456,314.620,362.798,398.027,PRECOMPILE_ECRECOVER,False
ECMUL,Precompile,322.424,509.111,516.991,332.217,483.617,483.363,322.424,PRECOMPILE_ECMUL,False
MOD,Arithmetic,325.838,325.838,587.839,576.102,521.819,547.583,611.831,OPCODE_MOD,False
EQ,Comparison,329.595,329.595,1685.804,2713.204,982.809,3008.403,2862.544,OPCODE_EQ,False
JUMP,Control flow,334.933,334.933,1839.682,2650.040,1209.961,2429.619,5428.912,OPCODE_JUMP,False
CALLER,Call context,349.021,410.397,349.021,2388.262,663.852,2065.226,3218.648,OPCODE_CALLER,False
ADDRESS,Call context,349.547,408.848,349.547,2269.758,685.205,1959.061,3182.446,OPCODE_ADDRESS,False
COINBASE,Block/tx,349.794,407.473,349.794,2405.006,816.845,1626.582,3169.539,OPCODE_COINBASE,False
SDIV,Arithmetic,354.584,354.584,639.137,664.205,592.187,436.647,658.044,OPCODE_SDIV,False
CALLDATASIZE,Call context,360.603,360.603,1105.664,2468.316,887.212,1954.975,2999.717,OPCODE_CALLDATASIZE,False
DIV,Arithmetic,364.078,364.078,595.818,675.385,564.274,569.394,842.151,OPCODE_DIV,False
BLS12_MAP_FP_TO_G1,BLS12-381,377.703,377.703,422.091,289.240,408.672,453.460,587.167,PRECOMPILE_BLS_G1MAP,False
MSIZE,Memory,380.153,380.153,938.425,2573.440,871.574,1910.722,3070.884,OPCODE_MSIZE,False
MSTORE,Memory,380.862,380.862,1295.936,3153.112,704.004,2441.687,1834.053,OPCODE_MSTORE_BASE,False
RETURNDATACOPY,Call context,385.957,385.957,762.397,2727.679,534.047,1452.653,3116.308,OPCODE_RETURNDATACOPY_BASE,False
GASLIMIT,Block/tx,388.139,388.139,1014.357,2334.089,993.614,1790.338,3035.977,OPCODE_GASLIMIT,False
PC,Control flow,393.417,393.417,1187.874,2452.502,901.037,1927.844,2774.448,OPCODE_PC,False
GAS,Control flow,393.985,393.985,672.894,2439.628,901.840,2025.761,3033.643,OPCODE_GAS,False
TIMESTAMP,Block/tx,395.665,395.665,1145.660,2545.368,936.105,1749.652,3393.283,OPCODE_TIMESTAMP,False
NUMBER,Block/tx,399.057,399.057,1223.035,2461.615,851.482,1721.953,3675.066,OPCODE_NUMBER,False
CALLDATACOPY,Call context,401.282,401.282,1203.470,2804.806,672.354,1801.999,3118.045,OPCODE_CALLDATACOPY_BASE,False
SUB,Arithmetic,403.500,403.500,1705.832,3440.322,945.514,1706.264,4649.359,OPCODE_SUB,False
PREVRANDAO,Block/tx,404.457,404.457,615.046,2156.631,833.118,1818.057,3201.827,OPCODE_PREVRANDAO,False
BASEFEE,Block/tx,408.122,408.122,1075.280,2397.362,822.399,1748.992,3198.299,OPCODE_BASEFEE,False
BLOBBASEFEE,Block/tx,410.272,410.272,1019.366,2641.771,838.649,1735.450,3108.351,OPCODE_BLOBBASEFEE,False
CHAINID,Block/tx,415.308,415.308,1144.757,2685.927,787.220,1792.011,2614.588,OPCODE_CHAINID,False
GASPRICE,Block/tx,417.219,417.219,1013.493,2425.028,880.206,1969.911,3277.453,OPCODE_GASPRICE,False
ADD,Arithmetic,420.086,420.086,1724.432,3728.035,892.177,1780.755,4617.365,OPCODE_ADD,False
PUSH,Stack,424.758,518.030,424.758,2508.824,767.742,2375.199,3206.509,OPCODE_PUSH,False
SLT,Comparison,430.647,430.647,1692.056,3390.460,960.088,2806.070,4430.568,OPCODE_SLT,False
MLOAD,Memory,440.810,440.810,930.295,2879.013,788.512,1958.782,2331.174,OPCODE_MLOAD_BASE,False
P256VERIFY,Precompile,441.946,536.997,446.208,160.571,441.946,628.219,656.513,PRECOMPILE_P256VERIFY,False
SGT,Comparison,444.184,444.184,1651.055,3497.189,904.434,2901.391,4446.383,OPCODE_SGT,False
BYTE,Bitwise,444.343,444.343,1650.723,2485.272,982.260,2267.378,4662.447,OPCODE_BYTE,False
ADDMOD,Arithmetic,449.988,449.988,695.189,779.877,635.503,839.184,1111.674,OPCODE_ADDMOD,False
RETURNDATASIZE,Call context,451.076,451.076,1544.654,2757.735,707.646,3394.869,3200.017,OPCODE_RETURNDATASIZE,False
MUL,Arithmetic,459.022,459.022,1857.609,3491.537,1135.156,1061.337,4898.277,OPCODE_MUL,False
MCOPY,Memory,468.987,468.987,603.251,2494.084,693.789,711.375,3885.852,OPCODE_MCOPY_BASE,False
AND,Bitwise,484.672,484.672,1697.785,2324.145,930.446,3303.314,4896.616,OPCODE_AND,False
OR,Bitwise,485.434,485.434,1731.182,2600.365,887.032,3257.256,4975.032,OPCODE_OR,False
NOT,Bitwise,495.531,495.531,2285.350,3556.063,1416.143,3199.225,4312.089,OPCODE_NOT,False
CALLVALUE,Call context,504.732,504.732,1472.167,2749.338,799.140,3814.109,3385.083,OPCODE_CALLVALUE,False
MSTORE8,Memory,507.101,507.101,1209.342,3344.183,747.957,2464.576,4066.523,OPCODE_MSTORE8_BASE,False
PUSH0,Stack,519.299,519.299,1132.368,2632.741,937.119,2070.302,3898.650,OPCODE_PUSH0,False
ISZERO,Comparison,521.095,521.095,1947.443,1523.975,1283.031,2372.961,4886.761,OPCODE_ISZERO,False
XOR,Bitwise,538.010,538.010,1777.706,2047.613,923.623,3337.996,5006.049,OPCODE_XOR,False
SWAP,Stack,544.618,575.402,544.618,2494.186,988.031,2578.807,3758.599,OPCODE_SWAP,False
RIPEMD-160,Precompile,553.858,1304.279,553.858,3658.640,2600.764,2774.984,1871.137,PRECOMPILE_RIPEMD160_BASE;PRECOMPILE_RIPEMD160_PER_WORD,False
DUP,Stack,569.133,569.133,1225.262,3235.774,1103.638,2663.649,3770.872,OPCODE_DUP,False
SHL,Bitwise,615.617,615.617,1501.336,1960.284,939.149,1077.594,2729.046,OPCODE_SHL,False
SHR,Bitwise,646.980,646.980,1513.166,2424.314,822.872,1123.076,2516.631,OPCODE_SHR,False
CLZ,Bitwise,842.890,842.890,3443.203,5287.600,2070.426,1123.506,6788.599,OPCODE_CLZ,False
EXP,Arithmetic,853.923,853.923,3180.792,1269.423,2480.626,1913.441,3228.818,OPCODE_EXP_BASE,False
JUMPI,Control flow,1235.424,1235.424,2564.985,5822.524,1480.918,5513.832,4904.344,OPCODE_JUMPI,False
