client_name,glue_opcode,nobs,glue_runtime_ms,p_value,rsquared
besu,ISZERO,3773,4.052605080183317e-06,0.001,0.6126666309142083
besu,JUMPDEST,3773,1.8973861277016571e-06,0.001,0.23599738209955834
besu,SWAP,60368,3.0454669201722596e-06,0.001,0.4766867916046833
besu,CALLDATASIZE,224477,3.6212864118142366e-06,0.001,0.7917709895105136
besu,DUP,224477,2.010693206594223e-06,0.001,0.7917709895105136
besu,GAS,224477,3.1624973503847792e-06,0.001,0.7917709895105136
besu,MLOAD,224477,9.61937261615975e-06,0.001,0.7917709895105136
besu,PUSH,224477,2.4619124998164434e-06,0.001,0.7917709895105136
besu,PUSH0,224477,1.915504140537006e-06,0.001,0.7917709895105136
besu,STATICCALL,224477,0.0007666734232228165,0.001,0.7917709895105136
besu,ADD,3773,8.03629883251267e-06,0.001,0.5790435917675674
besu,AND,3773,6.45498820616766e-06,0.001,0.4201954084018391
besu,CALLDATACOPY,90552,8.643565050779777e-06,0.001,0.3917516003602456
besu,CALLDATALOAD,15092,0.0,1.0,0.0
besu,DIV,3773,1.3142358915269403e-05,0.001,0.6478807934020088
besu,EXP,3773,0.0010918584294152163,0.001,0.7561473560961243
besu,GT,3773,1.949507070569098e-05,0.001,0.15452689841918377
besu,JUMPI,3773,3.1373067200114187e-06,0.001,0.09332269347552025
besu,LT,3773,1.9596206794443054e-05,0.001,0.15041937656632853
besu,MSTORE,18865,1.2336719566446663e-05,0.001,0.703915924961933
besu,MSTORE8,18865,6.991284475165647e-06,0.001,0.31843426696180566
besu,MUL,3773,7.869775181371865e-06,0.001,0.4045185996971974
besu,PC,3773,2.8520567013204234e-06,0.001,0.4266485644208775
besu,RETURNDATASIZE,15092,5.632280120235976e-06,0.001,0.4000110938531475
besu,SELFBALANCE,3087,7.299793270833747e-06,0.001,0.4414285569301494
besu,SUB,3773,8.615565024380351e-06,0.001,0.5453952893265792
besu,JUMP,3773,1.7382136329301398e-05,0.001,0.2776356744059719
besu,KECCAK256,60368,2.7698422118777867e-05,0.001,0.10744684419961581
erigon,ISZERO,253,1.2377889042802148e-06,0.001,0.3450130176002635
erigon,JUMPDEST,253,8.482289268894959e-07,0.001,0.7979060558624146
erigon,SWAP,4048,1.2629129839627768e-06,0.001,0.46769681947653263
erigon,CALLDATASIZE,15400,8.297626952854527e-07,0.001,0.9400340680998086
erigon,DUP,15400,1.0514810594639786e-06,0.001,0.9400340680998086
erigon,GAS,15400,8.919838147104952e-07,0.001,0.9400340680998086
erigon,MLOAD,15400,3.4350156302310616e-06,0.001,0.9400340680998086
erigon,PUSH,15400,2.803857336952353e-06,0.001,0.9400340680998086
erigon,PUSH0,15400,8.280429331409338e-07,0.001,0.9400340680998086
erigon,STATICCALL,15400,0.0005668709843625879,0.001,0.9400340680998086
erigon,ADD,253,1.955465200541479e-06,0.001,0.8600701914894687
erigon,AND,253,8.592305778724759e-07,0.043,0.019906270217643907
erigon,CALLDATACOPY,6072,1.0563298532362508e-06,0.001,0.07310956530641399
erigon,CALLDATALOAD,1012,6.858663705582665e-05,0.001,0.04230090014018517
erigon,DIV,253,9.098870584929376e-06,0.001,0.8750092172717954
erigon,EXP,253,0.0004808877151988493,0.001,0.17998392156664245
erigon,GT,253,1.8799430391776598e-06,0.001,0.42517251964125025
erigon,JUMPI,253,1.576148918693843e-06,0.008,0.06129982442082127
erigon,LT,253,1.9427513496851678e-06,0.001,0.27261708968344156
erigon,MSTORE,1265,3.826779559016213e-06,0.001,0.514477310417689
erigon,MSTORE8,1265,2.9886257133849685e-06,0.001,0.31672621927231637
erigon,MUL,253,2.180491409892313e-06,0.001,0.2647708037229267
erigon,PC,253,9.082838517978749e-07,0.001,0.7504591354662553
erigon,RETURNDATASIZE,1012,1.7572012858892863e-06,0.001,0.4802706889271652
erigon,SELFBALANCE,207,1.5168098376493696e-06,0.001,0.8885313814749924
erigon,SUB,253,1.9755311294591653e-06,0.001,0.8482962473783853
erigon,JUMP,253,1.077013228007887e-06,0.001,0.2708400744384687
erigon,KECCAK256,4048,1.2999306725340394e-05,0.001,0.03417783077080705
ethrex,ISZERO,1606,1.434084620868765e-06,0.001,0.8403863813741035
ethrex,JUMPDEST,1606,4.5704546882185633e-07,0.001,0.8416420394045255
ethrex,SWAP,25696,7.061582389720439e-07,0.001,0.8021409492026687
ethrex,CALLDATASIZE,96371,4.477829396875665e-07,0.001,0.8711054483211035
ethrex,DUP,96371,4.907651596905002e-07,0.001,0.8711054483211035
ethrex,GAS,96371,4.98441611659386e-07,0.001,0.8711054483211035
ethrex,MLOAD,96371,1.1610148937032581e-06,0.001,0.8711054483211035
ethrex,PUSH,96371,6.573033319022185e-07,0.001,0.8711054483211035
ethrex,PUSH0,96371,4.5127584915155217e-07,0.001,0.8711054483211035
ethrex,STATICCALL,96371,7.489136063701972e-05,0.001,0.8711054483211035
ethrex,ADD,1606,6.191956810584667e-07,0.001,0.5438355480127102
ethrex,AND,1606,6.004883918297539e-07,0.001,0.15228704743573485
ethrex,CALLDATACOPY,38544,9.479187938868729e-07,0.001,0.49559534332553923
ethrex,CALLDATALOAD,6424,2.1995323400401597e-05,0.001,0.26697847990248547
ethrex,DIV,1606,8.842527513983734e-06,0.001,0.8250663497461292
ethrex,EXP,1606,0.0009205614199827454,0.001,0.8276499819887743
ethrex,GT,1606,5.774265721128691e-07,0.001,0.5754700224378326
ethrex,JUMPI,1606,6.822093063291824e-07,0.001,0.440444889457266
ethrex,LT,1606,5.637209827193943e-07,0.001,0.5569294854772536
ethrex,MSTORE,8030,7.763045626264309e-07,0.001,0.43889164150608584
ethrex,MSTORE8,8030,6.724503058792304e-07,0.001,0.3629809518058832
ethrex,MUL,1606,1.1268098330580734e-06,0.001,0.681750751676479
ethrex,PC,1606,4.852131328750663e-07,0.001,0.7810080043170491
ethrex,RETURNDATASIZE,6424,9.415491336351891e-07,0.001,0.7944029361099498
ethrex,SELFBALANCE,1314,4.754514834100087e-06,0.001,0.8118824680981478
ethrex,SUB,1606,6.203069700213499e-07,0.001,0.5558402907014892
ethrex,JUMP,1606,2.1005737980284263e-06,0.001,0.5135539579598869
ethrex,KECCAK256,25696,0.0,1.0,0.0
geth,ISZERO,4224,1.4889677202298977e-06,0.001,0.7685345230056408
geth,JUMPDEST,4224,1.1831642654932438e-06,0.001,0.7200633544873578
geth,SWAP,67584,1.5516599708426283e-06,0.001,0.7138965524392535
geth,CALLDATASIZE,250514,1.4645696634875828e-06,0.001,0.818224320176544
geth,DUP,250514,1.5536308823775296e-06,0.001,0.818224320176544
geth,GAS,250514,1.4898144964078474e-06,0.001,0.818224320176544
geth,MLOAD,250514,5.267704821537897e-06,0.001,0.818224320176544
geth,PUSH,250514,2.3004218388452206e-06,0.001,0.818224320176544
geth,PUSH0,250514,1.4489640857146047e-06,0.001,0.818224320176544
geth,STATICCALL,250514,0.0001652637949648496,0.001,0.818224320176544
geth,ADD,4224,2.6081798310355932e-06,0.001,0.5217295063283405
geth,AND,4224,2.2921338095964672e-06,0.001,0.4725176377314413
