gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_bn128,param_calldata_size,param_copy_size,param_k,param_mem_size,param_mod_bits,param_opcode,param_return_size,param_returned_size,new_gas_decimal,new_gas_rounded
OPCODE_ADD,besu,1.0047238380601524e-05,9.840614917653291e-06,1.0271589645859954e-05,test_arithmetic,ADD,target_coef,0.0,,,,,,,,,,1.0047238380601524,2
OPCODE_SUB,besu,1.062650457246921e-05,1.0403966506518563e-05,1.086992852604636e-05,test_arithmetic,SUB,target_coef,0.0,,,,,,,,,,1.0626504572469209,2
OPCODE_MUL,besu,9.880714279903596e-06,9.583765247670523e-06,1.0174285656804834e-05,test_arithmetic,MUL,target_coef,0.0,,,,,,,,,,0.9880714279903595,1
OPCODE_DIV,besu,1.5153297943120834e-05,1.4873473279463773e-05,1.545158114950236e-05,test_arithmetic,DIV,target_coef,0.0,,,,,,,,,,1.5153297943120834,2
OPCODE_SDIV,besu,1.6546109013629162e-05,1.6262160670216323e-05,1.683342267384481e-05,test_arithmetic,SDIV,target_coef,0.0,,,,,,,,,,1.6546109013629162,2
OPCODE_SIGNEXTEND,besu,2.203435182773129e-05,2.082424595400992e-05,2.3239686975241306e-05,test_arithmetic,SIGNEXTEND,target_coef,0.0,,,,,,,,,,2.203435182773129,3
OPCODE_EXP_BASE,besu,0.0010938695063995223,0.001072943285799203,0.0011143764864250355,test_arithmetic,EXP,target_coef,0.0,,,,,,,,,,109.38695063995222,110
OPCODE_MOD,besu,1.9518163869431905e-05,1.9230223905511594e-05,1.9786821011707956e-05,test_mod,MOD,target_coef,0.0,,,,,,127,,,,1.9518163869431906,2
OPCODE_SMOD,besu,2.0127604072615668e-05,1.9862182722632927e-05,2.0417892439095782e-05,test_mod,SMOD,target_coef,0.0,,,,,,127,,,,2.012760407261567,3
OPCODE_ADDMOD,besu,2.333141333885947e-05,2.3008878424179144e-05,2.3643292976615753e-05,test_mod_arithmetic,ADDMOD,target_coef,0.0,,,,,,191,,,,2.333141333885947,3
OPCODE_MULMOD,besu,3.5696378338528256e-05,3.5215629907717465e-05,3.6169818309264546e-05,test_mod_arithmetic,MULMOD,target_coef,0.0,,,,,,191,,,,3.5696378338528256,4
OPCODE_AND,besu,8.465927754256519e-06,8.221734140950693e-06,8.718785025551754e-06,test_bitwise,AND,target_coef,0.0,,,,,,,,,,0.8465927754256519,1
OPCODE_OR,besu,8.524172240014657e-06,8.279180887017872e-06,8.770403613837538e-06,test_bitwise,OR,target_coef,0.0,,,,,,,,,,0.8524172240014657,1
OPCODE_XOR,besu,7.5112086619203514e-06,7.311383183211305e-06,7.718207251354651e-06,test_bitwise,XOR,target_coef,0.0,,,,,,,,,,0.7511208661920351,1
OPCODE_BYTE,besu,9.566795177506436e-06,9.368226990032067e-06,9.798898617901724e-06,test_bitwise,BYTE,target_coef,0.0,,,,,,,,,,0.9566795177506436,1
OPCODE_SHL,besu,5.303862689664328e-06,5.07093993065002e-06,5.539988687649421e-06,test_bitwise,SHL,target_coef,0.0,,,,,,,,,,0.5303862689664328,1
OPCODE_SHR,besu,5.0245210599395715e-06,4.807939634773085e-06,5.2462622969515175e-06,test_bitwise,SHR,target_coef,0.0,,,,,,,,,,0.5024521059939572,1
OPCODE_SAR,besu,1.981376210885392e-05,1.821976064991522e-05,2.1316028452542575e-05,test_bitwise,SAR,target_coef,0.0,,,,,,,,,,1.981376210885392,2
OPCODE_NOT,besu,4.178922523429293e-06,4.058331068483197e-06,4.300204829961556e-06,test_not_op,NOT,target_coef,0.0,,,,,,,,,,0.41789225234292926,1
OPCODE_CLZ,besu,3.936627102850435e-06,3.821908199469232e-06,4.054334784321414e-06,test_clz_same,CLZ,target_coef,0.0,,,,,,,,,,0.3936627102850435,1
OPCODE_LT,besu,2.1607146332035873e-05,2.010153274372098e-05,2.3042374985294132e-05,test_comparison,LT,target_coef,0.0,,,,,,,,,,2.1607146332035874,3
OPCODE_GT,besu,2.1506010243283795e-05,1.9999961035337057e-05,2.296300621329232e-05,test_comparison,GT,target_coef,0.0,,,,,,,,,,2.1506010243283793,3
OPCODE_SLT,besu,9.35004076090277e-06,9.105816151374084e-06,9.61682760517986e-06,test_comparison,SLT,target_coef,0.0,,,,,,,,,,0.9350040760902769,1
OPCODE_SGT,besu,8.25813089297124e-06,8.018008467938942e-06,8.493586447647835e-06,test_comparison,SGT,target_coef,0.0,,,,,,,,,,0.825813089297124,1
OPCODE_EQ,besu,1.2621416024160628e-05,1.2276658460308158e-05,1.2947145234694925e-05,test_comparison,EQ,target_coef,0.0,,,,,,,,,,1.2621416024160628,2
OPCODE_ISZERO,besu,4.052605080183317e-06,3.9504980947326545e-06,4.1544790560383e-06,test_iszero,ISZERO,target_coef,0.0,,,,,,,,,,0.40526050801833174,1
