target_op,category,preset,test_name,fixture_params,fixture_filter,gas_params,count_source
ADD,Arithmetic,arithmetic_add,test_arithmetic,,opcode_ADD-,OPCODE_ADD,
ADDMOD,Arithmetic,arithmetic_addmod,test_arithmetic,,opcode_ADDMOD,OPCODE_ADDMOD,
ADDMOD,Arithmetic,arithmetic_addmod_bits,test_mod_arithmetic,mod_bits,opcode_ADDMOD,OPCODE_ADDMOD,
DIV,Arithmetic,arithmetic_div,test_arithmetic,,opcode_DIV,OPCODE_DIV,
EXP,Arithmetic,arithmetic_exp,test_arithmetic,,opcode_EXP,OPCODE_EXP_BASE,
MOD,Arithmetic,arithmetic_mod,test_arithmetic,,opcode_MOD,OPCODE_MOD,
MOD,Arithmetic,arithmetic_mod_bits,test_mod,mod_bits,opcode_MOD,OPCODE_MOD,
MUL,Arithmetic,arithmetic_mul,test_arithmetic,,opcode_MUL-,OPCODE_MUL,
MULMOD,Arithmetic,arithmetic_mulmod,test_arithmetic,,opcode_MULMOD,OPCODE_MULMOD,
MULMOD,Arithmetic,arithmetic_mulmod_bits,test_mod_arithmetic,mod_bits,opcode_MULMOD,OPCODE_MULMOD,
SDIV,Arithmetic,arithmetic_sdiv,test_arithmetic,,opcode_SDIV,OPCODE_SDIV,
SIGNEXTEND,Arithmetic,arithmetic_signextend,test_arithmetic,,opcode_SIGNEXTEND,OPCODE_SIGNEXTEND,
SMOD,Arithmetic,arithmetic_smod,test_arithmetic,,opcode_SMOD,OPCODE_SMOD,
SMOD,Arithmetic,arithmetic_smod_bits,test_mod,mod_bits,opcode_SMOD,OPCODE_SMOD,
SUB,Arithmetic,arithmetic_sub,test_arithmetic,,opcode_SUB,OPCODE_SUB,
BLS12_G1ADD,BLS12-381,precompile_bls_g1add,test_bls12_381,,bls12_g1add,PRECOMPILE_BLS_G1ADD,STATICCALL
BLS12_G1MSM,BLS12-381,precompile_bls_g1msm,test_bls12_g1_msm,k,bls12_g1msm,PRECOMPILE_BLS_G1MUL,STATICCALL
BLS12_G2ADD,BLS12-381,precompile_bls_g2add,test_bls12_381,,bls12_g2add,PRECOMPILE_BLS_G2ADD,STATICCALL
BLS12_G2MSM,BLS12-381,precompile_bls_g2msm,test_bls12_g2_msm,k,bls12_g2msm,PRECOMPILE_BLS_G2MUL,STATICCALL
BLS12_MAP_FP_TO_G1,BLS12-381,precompile_bls_fp_to_g1,test_bls12_381,,bls12_fp_to_g1,PRECOMPILE_BLS_G1MAP,STATICCALL
BLS12_MAP_FP_TO_G2,BLS12-381,precompile_bls_fp_to_g2,test_bls12_381,,bls12_fp_to_g2,PRECOMPILE_BLS_G2MAP,STATICCALL
AND,Bitwise,bitwise_and,test_bitwise,,opcode_AND,OPCODE_AND,
BYTE,Bitwise,bitwise_byte,test_bitwise,,opcode_BYTE,OPCODE_BYTE,
CLZ,Bitwise,bitwise_clz,test_clz_same,,,OPCODE_CLZ,
NOT,Bitwise,bitwise_not,test_not_op,,,OPCODE_NOT,
OR,Bitwise,bitwise_or,test_bitwise,,opcode_OR,OPCODE_OR,
SAR,Bitwise,bitwise_sar,test_bitwise,,opcode_SAR,OPCODE_SAR,
SHL,Bitwise,bitwise_shl,test_bitwise,,opcode_SHL,OPCODE_SHL,
SHR,Bitwise,bitwise_shr,test_bitwise,,opcode_SHR,OPCODE_SHR,
XOR,Bitwise,bitwise_xor,test_bitwise,,opcode_XOR,OPCODE_XOR,
BASEFEE,Block/tx,block_basefee,test_block_context_ops,,opcode_BASEFEE,OPCODE_BASEFEE,
BLOBBASEFEE,Block/tx,block_blobbasefee,test_block_context_ops,,opcode_BLOBBASEFEE,OPCODE_BLOBBASEFEE,
CHAINID,Block/tx,block_chainid,test_block_context_ops,,opcode_CHAINID,OPCODE_CHAINID,
COINBASE,Block/tx,block_coinbase,test_block_context_ops,,opcode_COINBASE,OPCODE_COINBASE,
GASLIMIT,Block/tx,block_gaslimit,test_block_context_ops,,opcode_GASLIMIT,OPCODE_GASLIMIT,
GASPRICE,Block/tx,tx_gasprice,test_call_frame_context_ops,,opcode_GASPRICE,OPCODE_GASPRICE,
