hour_start,total_gas_used,block_count
2026-05-12 08:00:00,8637762794,300
2026-05-12 09:00:00,8879239779,299
2026-05-12 10:00:00,8918956196,299
2026-05-12 11:00:00,9167031617,299
2026-05-12 12:00:00,8828649679,297
2026-05-12 13:00:00,9245787814,299
2026-05-12 14:00:00,8975662778,299
2026-05-12 15:00:00,9205752187,299
2026-05-12 16:00:00,8799260400,299
2026-05-12 17:00:00,8910671362,298
2026-05-12 18:00:00,9049004278,300
2026-05-12 19:00:00,9005567719,300
2026-05-12 20:00:00,8954606732,298
2026-05-12 21:00:00,9111272220,300
2026-05-12 22:00:00,9044169246,300
2026-05-12 23:00:00,9121540394,300
2026-05-13 00:00:00,9099712999,299
2026-05-13 01:00:00,9170130368,299
2026-05-13 02:00:00,9002462393,299
2026-05-13 03:00:00,9082189540,300
2026-05-13 04:00:00,9090440048,300
2026-05-13 05:00:00,9156073648,300
2026-05-13 06:00:00,9017952947,299
2026-05-13 07:00:00,9142773845,300
2026-05-13 08:00:00,9204443977,299
2026-05-13 09:00:00,8892362358,297
2026-05-13 10:00:00,8970588017,298
2026-05-13 11:00:00,9037169327,299
2026-05-13 12:00:00,9399665431,298
2026-05-13 13:00:00,9071225772,299
2026-05-13 14:00:00,9071244029,297
2026-05-13 15:00:00,9096348529,298
2026-05-13 16:00:00,8809875977,298
2026-05-13 17:00:00,8973544061,298
2026-05-13 18:00:00,8813624395,297
2026-05-13 19:00:00,8877828141,297
2026-05-13 20:00:00,9150780413,298
2026-05-13 21:00:00,8788379023,296
2026-05-13 22:00:00,8979646904,297
2026-05-13 23:00:00,8979914064,297
2026-05-14 00:00:00,9118918212,300
2026-05-14 01:00:00,9014874430,299
2026-05-14 02:00:00,9125576681,298
2026-05-14 03:00:00,8992585559,297
2026-05-14 04:00:00,9100456626,300
2026-05-14 05:00:00,9009030271,298
2026-05-14 06:00:00,9062300828,299
2026-05-14 07:00:00,9193281409,299
2026-05-14 08:00:00,9021281286,300
2026-05-14 09:00:00,9026578799,299
2026-05-14 10:00:00,9134742974,300
2026-05-14 11:00:00,9200321761,300
2026-05-14 12:00:00,9032973363,300
2026-05-14 13:00:00,9233423022,300
2026-05-14 14:00:00,9060050847,298
2026-05-14 15:00:00,9148882479,298
2026-05-14 16:00:00,8996190072,299
2026-05-14 17:00:00,8769721603,299
2026-05-14 18:00:00,9154442550,300
2026-05-14 19:00:00,9070398683,298
2026-05-14 20:00:00,8970037596,300
2026-05-14 21:00:00,8826102714,297
2026-05-14 22:00:00,8971348992,299
2026-05-14 23:00:00,9003057948,298
2026-05-15 00:00:00,9054771033,299
2026-05-15 01:00:00,9180587355,299
2026-05-15 02:00:00,8977071765,298
2026-05-15 03:00:00,8999117791,298
2026-05-15 04:00:00,9171007707,299
2026-05-15 05:00:00,8909364684,296
2026-05-15 06:00:00,9153496484,300
2026-05-15 07:00:00,9061604960,300
2026-05-15 08:00:00,9054426921,300
2026-05-15 09:00:00,9006001754,299
2026-05-15 10:00:00,9233671570,300
2026-05-15 11:00:00,8882377231,298
2026-05-15 12:00:00,9218760621,300
2026-05-15 13:00:00,9707759063,299
2026-05-15 14:00:00,8607203740,300
2026-05-15 15:00:00,9042067167,299
2026-05-15 16:00:00,9695152142,300
2026-05-15 17:00:00,9168012929,300
2026-05-15 18:00:00,9156266974,299
2026-05-15 19:00:00,8391510441,300
2026-05-15 20:00:00,8848089236,300
2026-05-15 21:00:00,8977856903,299
2026-05-15 22:00:00,9075656065,299
2026-05-15 23:00:00,9163194599,299
2026-05-16 00:00:00,9062620736,299
2026-05-16 01:00:00,9086316027,298
2026-05-16 02:00:00,9150318138,300
2026-05-16 03:00:00,9105340323,300
2026-05-16 04:00:00,9085864000,299
2026-05-16 05:00:00,9089335387,299
2026-05-16 06:00:00,9224705623,299
2026-05-16 07:00:00,8907111461,300
2026-05-16 08:00:00,9189532284,300
2026-05-16 09:00:00,8981070384,298
2026-05-16 10:00:00,9123600546,299
2026-05-16 11:00:00,9038523446,298
2026-05-16 12:00:00,9129569804,300
2026-05-16 13:00:00,9278726167,298
2026-05-16 14:00:00,9288821373,300
2026-05-16 15:00:00,8571784326,299
2026-05-16 16:00:00,9120806146,299
2026-05-16 17:00:00,8846522240,300
2026-05-16 18:00:00,9036576217,300
2026-05-16 19:00:00,9074553072,300
2026-05-16 20:00:00,9037883037,300
2026-05-16 21:00:00,9050020050,298
2026-05-16 22:00:00,9103176149,300
2026-05-16 23:00:00,9039832873,300
2026-05-17 00:00:00,9175325076,299
2026-05-17 01:00:00,9076792715,300
2026-05-17 02:00:00,9049687599,298
2026-05-17 03:00:00,8979262091,300
2026-05-17 04:00:00,9137953078,299
2026-05-17 05:00:00,9120443725,300
2026-05-17 06:00:00,8891841732,294
2026-05-17 07:00:00,9123856027,299
2026-05-17 08:00:00,9058558673,297
2026-05-17 09:00:00,9001656557,299
2026-05-17 10:00:00,9061331285,300
2026-05-17 11:00:00,9040825940,299
2026-05-17 12:00:00,9166574232,299
2026-05-17 13:00:00,9133407521,300
2026-05-17 14:00:00,9362947232,299
2026-05-17 15:00:00,8707828211,300
2026-05-17 16:00:00,8877579618,297
2026-05-17 17:00:00,9039642368,298
2026-05-17 18:00:00,9192884880,300
2026-05-17 19:00:00,8994944368,300
2026-05-17 20:00:00,8995304533,299
2026-05-17 21:00:00,9063903775,300
2026-05-17 22:00:00,9007052407,300
2026-05-17 23:00:00,9429953957,300
2026-05-18 00:00:00,8823109461,299
2026-05-18 01:00:00,9118169597,300
2026-05-18 02:00:00,9059851894,300
2026-05-18 03:00:00,9054676204,298
2026-05-18 04:00:00,9193385577,300
2026-05-18 05:00:00,9116776211,300
2026-05-18 06:00:00,9134088542,300
2026-05-18 07:00:00,8981608064,297
2026-05-18 08:00:00,8923554883,298
2026-05-18 09:00:00,9039789759,299
2026-05-18 10:00:00,9061688854,298
2026-05-18 11:00:00,9121813106,300
2026-05-18 12:00:00,9075255226,299
2026-05-18 13:00:00,9024639856,300
2026-05-18 14:00:00,9113804472,300
2026-05-18 15:00:00,9297696562,300
2026-05-18 16:00:00,8718655527,298
2026-05-18 17:00:00,9095053539,300
2026-05-18 18:00:00,8953079376,300
2026-05-18 19:00:00,9032820742,299
2026-05-18 20:00:00,9086250482,297
2026-05-18 21:00:00,8966453242,299
2026-05-18 22:00:00,9074004034,299
2026-05-18 23:00:00,9023602254,298
2026-05-19 00:00:00,9072421801,296
2026-05-19 01:00:00,9132402364,299
2026-05-19 02:00:00,9016935854,298
2026-05-19 03:00:00,9026552769,298
2026-05-19 04:00:00,9127350583,300
2026-05-19 05:00:00,9036690630,300
2026-05-19 06:00:00,9115515370,300
2026-05-19 07:00:00,9228826331,300
2026-05-19 08:00:00,8948473184,300
2026-05-19 09:00:00,9076621168,300
2026-05-19 10:00:00,9069477640,300
2026-05-19 11:00:00,9088130831,299
