opcode,total_count,total_gas,weight
PUSH1,31952668899,95857957112,0.10299358760716314
PUSH2,30886296079,92658884682,0.09955632974285981
JUMPDEST,22444053954,22444052859,0.07234430539990165
POP,17288173699,34576345986,0.055725267834873575
SWAP1,16594262762,49782787011,0.0534885727685746
JUMPI,14581442388,145814401788,0.04700061421392817
DUP2,14391654643,43174962398,0.04638886810898746
JUMP,14172252347,113378010064,0.04568166491210534
ADD,13267305065,39801913868,0.042764732762770916
DUP1,10596131303,31788391441,0.03415469240150668
DUP3,10134097957,30402291615,0.03266541236517861
SWAP2,8415591954,25246774641,0.027126122388091416
ISZERO,7748846104,23246534056,0.024976989014264338
MSTORE,7470128871,38818179865,0.024078594960066566
AND,6711415281,20134245211,0.021633020387018746
MLOAD,6325867658,19027170511,0.020390278098050618
DUP4,5806524847,17419573949,0.01871627147682115
SUB,4557717029,13673150195,0.014690967743532114
EQ,4331552685,12994657740,0.013961968320948369
SWAP3,4287157467,12861472089,0.013818868450672268
PUSH4,3918248455,11754745180,0.012629757682911547
PUSH0,3816385828,7632771141,0.012301422124120444
DUP5,3624616055,10873847103,0.011683287314214176
LT,3334481507,10003444241,0.01074809163207077
SHL,2575945845,7727837175,0.008303090577407713
GT,2525487567,7576462524,0.008140447541480838
SWAP4,2326242270,6978726558,0.00749821674640234
CALLDATALOAD,2141259994,6423779935,0.006901960192397405
DUP6,2109753691,6329260650,0.006800405383674998
PUSH20,2082158894,6246476464,0.006711458599564256
SHR,2001885005,6005654899,0.006452710391537478
MUL,1946471825,9732358776,0.006274096134714002
DUP7,1764359831,5293079268,0.005687091410080775
PUSH32,1483871607,4451614476,0.004782988890111756
SLOAD,1273712611,1139869487336,0.0041055797812082784
CALLDATASIZE,1158909520,2317817885,0.0037355330020845583
DUP8,1085319588,3255958649,0.003498329307695062
DIV,1053518195,5267590738,0.003395823330296791
SWAP5,995966922,2987900651,0.003210317321507185
KECCAK256,966740649,42419474248,0.0031161117727259197
OR,952026817,2856080379,0.0030686844247970425
SLT,947752973,2843258872,0.0030549084698736927
NOT,941556571,2824669622,0.0030349355006593377
DUP9,697938546,2093815558,0.0022496773277088204
SWAP6,685782793,2057348339,0.002210495479848352
PUSH8,630685008,1892055005,0.0020328978411567142
RETURNDATASIZE,563448575,1126896496,0.0018161734894455062
GAS,548639868,1097279724,0.0017684403292962127
MULMOD,496180773,3969445911,0.0015993480254966987
DUP10,481117452,1443352268,0.001550794163658983
SIGNEXTEND,459996808,2299983824,0.0014827156283413344
CALLER,457619484,915238959,0.0014750527589754432
SGT,444424450,1333273229,0.0014325209787803613
PUSH3,412553435,1237660199,0.0013297905875912096
DUP11,402535805,1207607388,0.001297500588396387
SSTORE,378909252,1761235570637,0.00122134471346924
SAR,345834642,1037503923,0.0011147347538012274
SWAP7,338911589,1016734749,0.0010924195579120085
DUP12,309857783,929573318,0.0009987699249802138
CALLVALUE,302796818,605593625,0.0009760101949677588
PUSH16,292964716,878894108,0.0009443182113685028
RETURN,288015773,40394,0.0009283661982191627
ADDMOD,249100340,1992802709,0.0008029294132474502
DUP13,240241918,720725738,0.0007743759091504333
SWAP8,230863656,692590943,0.0007441467958343261
CODECOPY,227269037,2074062733,0.0007325601985437799
CALLDATACOPY,212393067,12005870125,0.000684610228408907
CALL,208228101,428855154075,0.0006711852218168824
XOR,191676139,575028400,0.0006178329978225108
EXP,181359862,8024434187,0.0005845803646125034
DUP14,173649128,520947376,0.0005597262229990187
SWAP9,170532872,511598600,0.0005496815413995924
STATICCALL,138681022,60985481068,0.00044701292508479414
LOG3,133986082,258974505053,0.00043187964417706036
RETURNDATACOPY,122828521,961179426,0.00039591528577031295
PUSH29,119215373,357646119,0.00038426896363515973
ADDRESS,115736888,231473776,0.00037305670306562354
STOP,112262159,0,0.0003618565492755328
SWAP10,105387247,316161741,0.00033969652710018024
TLOAD,85776461,8577643797,0.0002764847430604583
DELEGATECALL,80855739,66162597854,0.0002606236951461366
SWAP11,80399102,241197300,0.00025915180924474814
PUSH5,79545442,238636324,0.000256400192274202
BYTE,77505242,232515717,0.00024982398049983246
