hour_start,opcode,total_count,total_gas
2026-05-12 08:00:00,PUSH1,41742462,125227360
2026-05-12 08:00:00,PUSH2,39064283,117192849
2026-05-12 08:00:00,JUMPDEST,28027355,28027355
2026-05-12 08:00:00,POP,19449212,38898421
2026-05-12 08:00:00,JUMPI,19273398,192733956
2026-05-12 08:00:00,SWAP1,19259528,57778577
2026-05-12 08:00:00,JUMP,17742551,141940393
2026-05-12 08:00:00,DUP2,17058833,51176496
2026-05-12 08:00:00,ADD,16809883,50429649
2026-05-12 08:00:00,DUP1,14146648,42439938
2026-05-12 08:00:00,DUP3,12493626,37480877
2026-05-12 08:00:00,SWAP2,10914245,32742732
2026-05-12 08:00:00,MSTORE,10094244,50992538
2026-05-12 08:00:00,AND,9519030,28557090
2026-05-12 08:00:00,ISZERO,9467340,28402014
2026-05-12 08:00:00,MLOAD,7841118,23595557
2026-05-12 08:00:00,DUP4,7758764,23276292
2026-05-12 08:00:00,SUB,6723480,20170440
2026-05-12 08:00:00,EQ,5902698,17708090
2026-05-12 08:00:00,PUSH4,5525692,16577076
2026-05-12 08:00:00,SWAP3,5181974,15545922
2026-05-12 08:00:00,DUP5,4735563,14206689
2026-05-12 08:00:00,PUSH0,4611777,9223552
2026-05-12 08:00:00,SHL,4192188,12576564
2026-05-12 08:00:00,LT,4040193,12120577
2026-05-12 08:00:00,GT,3494218,10482654
2026-05-12 08:00:00,DUP6,2748056,8244168
2026-05-12 08:00:00,CALLDATALOAD,2693270,8079810
2026-05-12 08:00:00,SWAP4,2477444,7432332
2026-05-12 08:00:00,PUSH20,2425820,7277460
2026-05-12 08:00:00,DUP7,2415114,7245342
2026-05-12 08:00:00,PUSH32,2067257,6201771
2026-05-12 08:00:00,SHR,1877964,5633892
2026-05-12 08:00:00,SLOAD,1640448,1767825122
2026-05-12 08:00:00,MUL,1634357,8171785
2026-05-12 08:00:00,CALLDATASIZE,1511516,3023032
2026-05-12 08:00:00,OR,1464443,4393329
2026-05-12 08:00:00,DUP8,1435708,4307124
2026-05-12 08:00:00,SWAP5,1430819,4292457
2026-05-12 08:00:00,NOT,1285311,3855933
2026-05-12 08:00:00,DIV,1279771,6398855
2026-05-12 08:00:00,SLT,1254875,3764625
2026-05-12 08:00:00,KECCAK256,1174513,51162810
2026-05-12 08:00:00,DUP9,1032665,3097995
2026-05-12 08:00:00,SWAP6,1010729,3032187
2026-05-12 08:00:00,MULMOD,885850,7086800
2026-05-12 08:00:00,RETURNDATASIZE,817065,1634129
2026-05-12 08:00:00,PUSH8,745076,2235228
2026-05-12 08:00:00,DUP10,678640,2035920
